"(Intercept)" "Mig" "Hab" "logmass" "PrevS" "df" "logLik" "AICc" "delta" "weight"
"malli14" 0.0748206720430352 NA "+" 0.0426858909988991 0.0929097173952493 7 4.05458392935603 6.90901395946976 0 0.334152841591206
"malli10" 0.321058470050213 NA "+" NA 0.0818936002606765 6 2.58308234007978 7.59059207659719 0.681578117127426 0.237652480184464
"malli8" -0.0544723983850322 NA NA 0.0458828538457244 0.0965415317512013 4 0.154826095996299 8.04433010889236 1.13531614942259 0.189415009104589
"malli4" 0.210569480819058 NA NA NA 0.0858407038140824 3 -1.48972907105735 9.18998445790418 2.28097049843442 0.106816589690391
"malli15" 0.0615149781909134 "+" "+" 0.0414650500549672 0.0929272012660399 9 4.1657597022926 11.3351472620815 4.42613330261169 0.036544542043649
"malli13" -0.0698734030709265 "+" NA 0.040374719780588 0.0950700477613846 6 0.645794079198083 11.4651685983606 4.55615463889083 0.0342443359878266
"malli12" 0.284868857043383 "+" "+" NA 0.0824368713858882 8 2.81874759791566 11.6836057215999 4.77459176213011 0.0307012268641056
"malli9" 0.147464049749787 "+" NA NA 0.0855869742730171 5 -0.581453676214608 11.6986216381435 4.78960767867374 0.030471586477859
"malli2" 0.213021260929853 NA "+" NA NA 5 -11.160230851034 32.8561759877823 25.9471620283125 7.75515555950318e-07
"malli6" 0.307570813984535 NA "+" -0.0154769386536617 NA 6 -10.9794358715305 34.7156284998178 27.806614540348 3.06066312395666e-07
"malli0" 0.0804885964748593 NA NA NA NA 2 -16.3775541395961 36.8594561052792 29.9504421458095 1.0478262675639e-07
"malli5" 0.192792591874753 "+" "+" NA NA 7 -11.1008277256552 37.2198372694921 30.3108233100224 8.75051283020996e-08
"malli3" 0.153483245952728 NA NA -0.011907952853315 NA 3 -16.2788211747799 38.7681686653493 31.8591547058795 4.03475915064811e-08
"malli11" 0.291499430078388 "+" "+" -0.017411278331493 NA 8 -10.8795468753264 39.0801946680841 32.1711807086143 3.45193039216355e-08
"malli1" 0.0144919770283049 "+" NA NA NA 4 -15.5920400244301 39.5380623497451 32.6290483902754 2.74560037719309e-08
"malli7" 0.125169466508536 "+" NA -0.0192552114450336 NA 5 -15.3403019843885 41.2163182544913 34.3073042950216 1.18633866883133e-08
