"(Intercept)" "Mig" "Hab" "log(Mass)" "PrevS" "df" "logLik" "AICc" "delta" "weight"
"malli3" 0.258613982627474 NA NA -0.0424276106786971 NA 3 -7.17736484701526 20.5616262457546 0 0.365391960126836
"malli0" 4.38035649328511e-05 NA NA NA NA 2 -8.63384643641787 21.3702569753998 0.808630729645191 0.243874872453167
"malli8" 0.254988699895351 NA NA -0.0413824094211687 0.00180280790287523 4 -7.17139154609968 22.6906091791559 2.12898293340124 0.126024858107973
"malli4" 0.016945257531806 NA NA NA 0.0111019251830253 3 -8.37911060708846 22.9651177659011 2.40349152014642 0.109861983296005
"malli7" 0.261138416472144 "+" NA -0.0425831494570206 NA 5 -7.14823498138746 24.8227857522486 4.26115950649396 0.0433970248762399
"malli1" 0.0162800300247998 "+" NA NA NA 4 -8.5639172681169 25.4756606231903 4.91403437743567 0.0313104983561165
"malli6" 0.277513518989119 NA "+" -0.0412709415633909 NA 6 -6.85876386500506 26.4608905618685 5.89926431611388 0.0191315438390556
"malli2" 0.026528932589675 NA "+" NA NA 5 -8.23575742155792 26.9978306325895 6.43620438683488 0.0146269899284728
"malli13" 0.257742481559569 "+" NA -0.041441855658772 0.00183562579518879 6 -7.14217197026217 27.0277067723827 6.4660805266281 0.0144101148112592
"malli9" 0.0361310088375017 "+" NA NA 0.0115071183734299 5 -8.29111002593892 27.1085358413515 6.54690959559688 0.0138393480513884
"malli10" 0.0453895693604489 NA "+" NA 0.0132843921698313 6 -7.88360854667148 28.5105799252014 7.94895367944672 0.00686539654635769
"malli14" 0.268826662356194 NA "+" -0.0389343728993663 0.00388990125565193 7 -6.83241835702863 28.6648367140573 8.10321046830261 0.00635578490350064
"malli11" 0.274313831286029 "+" "+" -0.0418167290701801 NA 8 -6.85101287028435 30.999323037866 10.4376967921113 0.00197807123204676
"malli5" 0.0358621344112283 "+" "+" NA NA 7 -8.2212500214069 31.4425000428138 10.8808737970592 0.00158491969786038
"malli12" 0.0560712617877622 "+" "+" NA 0.0133659763807125 8 -7.86491789407923 33.0271330854558 12.4655068397011 0.000717643193035253
"malli15" 0.266640297874755 "+" "+" -0.039486131491186 0.00371448799403898 9 -6.82724094291699 33.2908455221976 12.729219276443 0.000628990580685515
