"Route","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","routeid","x","y"
"Route_0000001002",1,0.5,0,0,0,1,0,0.5,0,0.5,0,1,0,0,0,0,0.5,1,1,0,1,0,0,0,0,0,0.5,0,1,0,1,1,1,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,1,1,0,0,0,0,0,0.5,0.5,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0,1,0,1,0,0,1,564,4521166,3636537
"Route_0000001004",1,0,0,0,0,1,0,1,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0,1,0.666666666666667,0,0.666666666666667,0,0,0,0,0,1,0,1,0,1,1,0.333333333333333,0,0,0,0,0,1,0,0.666666666666667,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,0,0,0,1,0,0,1,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0,0,1,1,0,0,1,0.333333333333333,0,0,1,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,1,1,0.666666666666667,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,1,566,4575321,3612900
"Route_0000001006",0.666666666666667,0,0,0,0.666666666666667,1,0,0,0,0,1,0.333333333333333,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,1,1,0.666666666666667,1,1,1,0,0,0.333333333333333,1,0.666666666666667,1,0,0,1,0,1,1,0,0,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.666666666666667,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0,1,0,0.666666666666667,0,0,0,0,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,1,1,0.666666666666667,0,0,0.333333333333333,0,1,0.333333333333333,0,0.666666666666667,0,1,1,1,1,0.666666666666667,0,0,0,0,0.666666666666667,0,1,0,1,1,0.333333333333333,0,0.666666666666667,0.333333333333333,568,4572998,3640790
"Route_0000001007",1,0,0,0,0,1,0,0.666666666666667,0,0,0,1,0,0,0,0,0,1,1,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0,1,0,1,1,0.666666666666667,0,0,1,0.333333333333333,0,0.666666666666667,0,0,0.666666666666667,1,0.333333333333333,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0.333333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,1,1,1,1,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,1,1,1,0,0,1,569,4495246,3658462
"Route_0000001013",0,0,0,0,0.333333333333333,0,0,0,0,1,1,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,1,1,0,0,1,0,0,0.666666666666667,0.666666666666667,0.666666666666667,1,0,0,1,0,1,1,0,0,0,1,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.666666666666667,0,1,0.666666666666667,1,0,0.666666666666667,0,0,0,0.333333333333333,0,0.666666666666667,1,1,0,0,0,0.666666666666667,0,1,1,0,0.333333333333333,0,1,1,1,1,0.666666666666667,1,0,0,0,0.666666666666667,0,1,0,1,1,0,0,0.333333333333333,0,575,4541088,3686303
"Route_0000001022",0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0,1,0.333333333333333,1,1,1,1,1,0,0,0,0.333333333333333,1,0,1,0,0,0.333333333333333,0,1,0.666666666666667,1,1,0,1,1,1,0,0.666666666666667,1,0,0,1,0,0.333333333333333,0,0,0,1,0,1,0.333333333333333,0,0,0,0,1,1,1,0,0,0.333333333333333,1,1,1,1,0.333333333333333,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,1,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0.666666666666667,1,1,1,0,0,0,0,0,1,0,0,1,0.666666666666667,1,0,0,0.666666666666667,584,4716553,3700608
"Route_0000001023",0.333333333333333,0,0.333333333333333,0,0,1,0,0.333333333333333,0,0,1,1,0,0,0,0,0,0.666666666666667,1,0.333333333333333,1,0.333333333333333,0,0.666666666666667,0,0,0,0,1,0,1,1,0.666666666666667,0,0,1,0.666666666666667,0.333333333333333,1,0,0,1,0,0.666666666666667,1,0,0,0,0.333333333333333,0,0,0,1,1,1,0,0,0.666666666666667,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.666666666666667,1,0,0,1,1,1,0.333333333333333,1,0.666666666666667,0,0,0,0.666666666666667,0,0,1,0,0.333333333333333,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0.666666666666667,0,0,0.666666666666667,585,4491231,3706244
"Route_0000001025",0.75,0,0,0,0,1,0,0.5,0,0.75,0.75,0.75,0,0,0,0,0,0,1,0,1,0.75,0.25,0.25,0.25,0,0.25,0.25,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0.75,1,0,0,0,0.25,0,0,0,0.75,1,1,0,0,0,1,1,1,0.5,0.25,0,0.25,0.5,0,0,1,0,0.5,0,0,0.5,0,0.25,1,0.25,1,0.25,0.25,1,1,0,0,1,1,0.75,0.75,1,1,0,0,0,0.75,0,1,0,0,0.5,0.25,1,1,1,1,0.75,0,0,0,0,0,0,1,0,1,0.5,0.75,0,0,0.75,587,4488880,3734114
"Route_0000001026",0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,1,0.5,0.5,0,1,0,0,1,0.5,0.5,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,1,1,1,1,0,0.5,0,0,0,0,0,0.5,0.5,1,1,0.5,0.5,0,0,0.5,0,1,1,0,0.5,0,1,1,1,0,1,1,0,0,0,0.5,0,1,0,1,1,0,0,0,0,588,4512806,3736098
"Route_0000001038",0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.5,1,0,1,0,0,0.5,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,1,1,0,0,0,0,0,0.5,0,1,1,0.5,0,0,0,0.5,0,1,0.5,0,1,0,1,1,1,0,1,0.5,1,0,0,0,0,1,0,1,1,0.5,0,0,0,600,4664366,3748535
"Route_0000001039",0,0,0,0,1,1,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,1,0,1,0,0,0.666666666666667,1,0.666666666666667,0,0,0.666666666666667,0,0,0.666666666666667,1,1,1,0,0,1,0,1,1,0,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0,0,1,0,0.666666666666667,0,0,0,0,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0.666666666666667,1,0,0,0,0,1,0,1,0.666666666666667,0.333333333333333,0.666666666666667,0,1,1,1,0.333333333333333,1,1,0,0,0,1,0,1,0,1,1,0,0,0.666666666666667,0,601,4690631,3722584
