"Yspecies","numb"
"Acrocephalus_palustris",17
"Acrocephalus_schoenobaenus",14
"Acrocephalus_scirpaceus",30
"Actitis_hypoleucos",37
"Aegithalos_caudatus",14
"Alauda_arvensis",47
"Anas_crecca",17
"Anas_platyrhynchos",58
"Anser_anser",21
"Anthus_pratensis",45
"Anthus_trivialis",106
"Apus_apus",55
"Ardea_cinerea",23
"Aythya_fuligula",17
"Bonasa_bonasia",7
"Branta_canadensis",46
"Bucephala_clangula",51
"Buteo_buteo",51
"Carduelis_cannabina",24
"Carduelis_carduelis",14
"Carduelis_chloris",74
"Carduelis_flammea",30
"Carduelis_spinus",95
"Carpodacus_erythrinus",16
"Certhia_familiaris",58
"Coccothraustes_coccothraustes",19
"Columba_livia",15
"Columba_oenas",30
"Columba_palumbus",90
"Corvus_corax",78
"Corvus_corone",95
"Corvus_monedula",56
"Cuculus_canorus",94
"Cygnus_cygnus",29
"Cygnus_olor",21
"Delichon_urbicum",41
"Dendrocopos_major",82
"Dryocopus_martius",72
"Emberiza_citrinella",80
"Emberiza_rustica",3
"Emberiza_schoeniclus",56
"Erithacus_rubecula",101
"Falco_tinnunculus",12
"Ficedula_hypoleuca",93
"Fringilla_coelebs",102
"Fringilla_montifringilla",28
"Fulica_atra",12
"Gallinago_gallinago",57
"Garrulus_glandarius",72
"Gavia_arctica",32
"Gavia_stellata",15
"Grus_grus",64
"Haematopus_ostralegus",19
"Hippolais_icterina",38
"Hirundo_rustica",66
"Jynx_torquilla",36
"Lagopus_lagopus",11
"Lanius_collurio",45
"Larus_argentatus",39
"Larus_canus",78
"Larus_marinus",15
"Larus_ridibundus",43
"Loxia_curvirostra",77
"Loxia_pytyopsittacus",12
"Lullula_arborea",16
"Luscinia_luscinia",26
"Luscinia_svecica",8
"Mergus_merganser",26
"Motacilla_alba",86
"Motacilla_flava",32
"Muscicapa_striata",70
"Numenius_arquata",30
"Numenius_phaeopus",12
"Oenanthe_oenanthe",35
"Pandion_haliaetus",15
"Parus_ater",63
"Parus_caeruleus",80
"Parus_cristatus",43
"Parus_major",100
"Parus_montanus",64
"Parus_palustris",36
"Passer_domesticus",26
"Passer_montanus",40
"Perisoreus_infaustus",11
"Phalacrocorax_carbo",14
"Phasianus_colchicus",30
"Phoenicurus_phoenicurus",81
"Phylloscopus_collybita",39
"Phylloscopus_sibilatrix",57
"Phylloscopus_trochilus",109
"Pica_pica",66
"Picus_viridis",43
"Pluvialis_apricaria",19
"Podiceps_cristatus",16
"Prunella_modularis",80
"Pyrrhula_pyrrhula",69
"Regulus_regulus",85
"Saxicola_rubetra",66
"Scolopax_rusticola",13
"Sitta_europaea",53
"Sterna_hirundo",29
"Sturnus_vulgaris",65
"Sylvia_atricapilla",74
"Sylvia_borin",80
"Sylvia_communis",61
"Sylvia_curruca",70
"Tetrao_tetrix",47
"Tetrao_urogallus",23
"Tringa_glareola",26
"Tringa_nebularia",22
"Tringa_ochropus",57
"Tringa_totanus",21
"Troglodytes_troglodytes",71
"Turdus_iliacus",84
"Turdus_merula",83
"Turdus_philomelos",105
"Turdus_pilaris",82
"Turdus_torquatus",9
"Turdus_viscivorus",60
"Vanellus_vanellus",49
