"species","method","accuracy","pa","pool"
"Acrocephalus_palustris","A",0.524987457079542,"abu","NPo"
"Acrocephalus_schoenobaenus","A",0.231501819026631,"abu","NPo"
"Acrocephalus_scirpaceus","A",0.315910331624223,"abu","NPo"
"Actitis_hypoleucos","A",0.291589359170727,"abu","NPo"
"Aegithalos_caudatus","A",0.401595759938437,"abu","NPo"
"Alauda_arvensis","A",0.671746130376395,"abu","NPo"
"Anas_crecca","A",0.240494789568931,"abu","NPo"
"Anas_platyrhynchos","A",0.509258205485365,"abu","NPo"
"Anser_anser","A",0.378887449496853,"abu","NPo"
"Anthus_pratensis","A",0.7724915000467,"abu","NPo"
"Anthus_trivialis","A",0.623872551375215,"abu","NPo"
"Apus_apus","A",0.448396213519839,"abu","NPo"
"Ardea_cinerea","A",0.318125626949877,"abu","NPo"
"Aythya_fuligula","A",0.394343003596048,"abu","NPo"
"Bonasa_bonasia","A",0.158520518434291,"abu","NPo"
"Branta_canadensis","A",0.401165760139696,"abu","NPo"
"Bucephala_clangula","A",0.337711875834945,"abu","NPo"
"Buteo_buteo","A",0.3182814858052,"abu","NPo"
"Carduelis_cannabina","A",0.50293887474155,"abu","NPo"
"Carduelis_carduelis","A",0.265163095311797,"abu","NPo"
"Carduelis_chloris","A",0.504613601329674,"abu","NPo"
"Carduelis_flammea","A",0.356005001304742,"abu","NPo"
"Carduelis_spinus","A",0.424286943849015,"abu","NPo"
"Carpodacus_erythrinus","A",0.331160116641159,"abu","NPo"
"Certhia_familiaris","A",0.37779106790681,"abu","NPo"
"Coccothraustes_coccothraustes","A",0.285055351056516,"abu","NPo"
"Columba_livia","A",0.37035143363532,"abu","NPo"
"Columba_oenas","A",0.279928386834582,"abu","NPo"
"Columba_palumbus","A",0.726097520501508,"abu","NPo"
"Corvus_corax","A",0.181234001565463,"abu","NPo"
"Corvus_corone","A",0.72741800841315,"abu","NPo"
"Corvus_monedula","A",0.658453378076063,"abu","NPo"
"Cuculus_canorus","A",0.104250322257533,"abu","NPo"
"Cygnus_cygnus","A",0.443321710027363,"abu","NPo"
"Cygnus_olor","A",0.540766384614005,"abu","NPo"
"Delichon_urbicum","A",0.351002457157779,"abu","NPo"
"Dendrocopos_major","A",0.360389918309518,"abu","NPo"
"Dryocopus_martius","A",0.204851306337171,"abu","NPo"
"Emberiza_citrinella","A",0.500977476024891,"abu","NPo"
"Emberiza_rustica","A",0.375951215299529,"abu","NPo"
