"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0000000013",0.758660006845092,0.722779576963604,,,4,0.773904036983681,0.671664238755737,,,4
"Route_0000000014",0.661744427671081,0.664613859704381,,,5,0.77228707110984,0.73462133956467,,,5
"Route_0000000015",0.717714392706977,0.704253684819429,,,6,0.805462790065389,0.766721574355683,,,6
"Route_0000000023",0.625819241117159,0.652036814228675,,,10,0.675319880297306,0.696394338020706,,,10
"Route_0000000024",0.754132901632524,0.74603879315949,,,11,0.807903743474219,0.785480241419332,,,11
"Route_0000000025",0.776108329181993,0.77333670891872,,,12,0.824313291604456,0.815087924661893,,,12
"Route_0000000026",0.760632713626348,0.735195487818558,,,13,0.815643853538003,0.704986453272956,,,13
"Route_0000000027",0.786220725668929,0.759723268533621,,,14,0.788839808960879,0.784848519135229,,,14
"Route_0000000028",0.760045987906953,0.742277008174755,,,15,0.753826520728685,0.751413479054253,,,15
"Route_0000000029",0.766649996556915,0.732868525390499,,,16,0.595291832982836,0.525001435154964,,,16
"Route_0000000030",0.825757404799092,0.787662150670688,,,17,0.780769470938896,0.707779873011079,,,17
"Route_0000000031",0.798616889490883,0.771332296789204,,,18,0.677420959645946,0.608282771958553,,,18
"Route_0000000032",0.789074505006347,0.783876138617258,,,19,0.694501648962719,0.670344666480752,,,19
"Route_0000000034",0.72031691083671,0.714693397023646,,,21,0.687418293296288,0.666242459031067,,,21
"Route_0000000035",0.822358790337502,0.785900930660237,,,22,0.932756662792821,0.887375693335516,,,22
"Route_0000000037",0.703755657599193,0.679533206809824,,,24,0.749986206871364,0.617107137147674,,,24
"Route_0000000038",0.639657473761818,0.589726158914093,,,25,0.731310234740689,0.668297845997254,,,25
"Route_0000000039",0.691659257252938,0.646399993390523,,,26,0.768043674131301,0.689033401101268,,,26
"Route_0000000043",0.773735401835743,0.750773534959801,,,28,0.823287261658635,0.783731203547366,,,28
"Route_0000000044",0.752468720410839,0.708762052431564,,,29,0.734771084001143,0.669293986941478,,,29
"Route_0000000046",0.786376422609111,0.787617598981228,,,31,0.879764300218605,0.862571008948612,,,31
"Route_0000000047",0.789588571492394,0.768925223707506,,,32,0.812077093709555,0.791091620753272,,,32
"Route_0000000049",0.893998024423545,0.874219560945071,,,34,0.906397811543017,0.876438101123899,,,34
"Route_0000000053",0.857984544904354,0.831061333561269,,,38,0.871203427726766,0.831321247092006,,,38
"Route_0000000055",0.646079554589368,0.67272191466168,,,40,0.802707277302043,0.754143394067847,,,40
"Route_0000000059",0.73442259461008,0.735045711147467,,,43,0.785417400421621,0.670062906425508,,,43
"Route_0000000060",0.746890505665909,0.713722529137053,,,44,0.813735134085171,0.751853104533448,,,44
"Route_0000000061",0.80433260152313,0.821010863450471,,,45,0.823543823082333,0.791757160221103,,,45
"Route_0000000063",0.758644988799882,0.750243741743327,,,47,0.854828804154977,0.842915292621452,,,47
"Route_0000000067",0.835251423176562,0.803696345000915,,,51,0.790657934665848,0.738730624379061,,,51
