"Route","Year"
"Route_0000000005","Year_2010"
"Route_0000000005","Year_2011"
"Route_0000000005","Year_2014"
"Route_0000000009","Year_2008"
"Route_0000000009","Year_2011"
"Route_0000000010","Year_2010"
"Route_0000000010","Year_2011"
"Route_0000000010","Year_2012"
"Route_0000000010","Year_2013"
"Route_0000000013","Year_2008"
"Route_0000000013","Year_2010"
"Route_0000000013","Year_2012"
"Route_0000000013","Year_2013"
"Route_0000000013","Year_2014"
"Route_0000000014","Year_2006"
"Route_0000000014","Year_2007"
"Route_0000000014","Year_2010"
"Route_0000000014","Year_2011"
"Route_0000000014","Year_2012"
"Route_0000000014","Year_2013"
"Route_0000000014","Year_2014"
"Route_0000000015","Year_2006"
"Route_0000000015","Year_2008"
"Route_0000000015","Year_2010"
"Route_0000000015","Year_2011"
"Route_0000000015","Year_2012"
"Route_0000000015","Year_2013"
"Route_0000000015","Year_2014"
"Route_0000000016","Year_2007"
"Route_0000000016","Year_2010"
"Route_0000000016","Year_2011"
"Route_0000000016","Year_2012"
"Route_0000000016","Year_2014"
"Route_0000000017","Year_2006"
"Route_0000000017","Year_2007"
"Route_0000000017","Year_2008"
"Route_0000000017","Year_2009"
"Route_0000000020","Year_2008"
"Route_0000000020","Year_2009"
"Route_0000000020","Year_2012"
"Route_0000000020","Year_2014"
"Route_0000000023","Year_2010"
"Route_0000000023","Year_2013"
"Route_0000000023","Year_2014"
"Route_0000000024","Year_2008"
"Route_0000000024","Year_2010"
"Route_0000000024","Year_2013"
"Route_0000000024","Year_2014"
"Route_0000000025","Year_2008"
"Route_0000000025","Year_2009"
"Route_0000000025","Year_2010"
"Route_0000000025","Year_2011"
"Route_0000000025","Year_2013"
"Route_0000000025","Year_2014"
"Route_0000000026","Year_2008"
"Route_0000000026","Year_2010"
"Route_0000000026","Year_2012"
"Route_0000000026","Year_2013"
"Route_0000000026","Year_2014"
"Route_0000000027","Year_2007"
"Route_0000000027","Year_2009"
"Route_0000000027","Year_2010"
"Route_0000000027","Year_2011"
"Route_0000000027","Year_2012"
"Route_0000000027","Year_2013"
"Route_0000000027","Year_2014"
"Route_0000000028","Year_2006"
"Route_0000000028","Year_2008"
"Route_0000000028","Year_2010"
"Route_0000000028","Year_2011"
"Route_0000000028","Year_2013"
"Route_0000000028","Year_2014"
"Route_0000000029","Year_2006"
"Route_0000000029","Year_2007"
"Route_0000000029","Year_2008"
"Route_0000000029","Year_2009"
"Route_0000000029","Year_2010"
"Route_0000000029","Year_2011"
"Route_0000000029","Year_2012"
"Route_0000000029","Year_2013"
"Route_0000000029","Year_2014"
"Route_0000000030","Year_2006"
"Route_0000000030","Year_2007"
"Route_0000000030","Year_2009"
"Route_0000000030","Year_2010"
"Route_0000000030","Year_2012"
"Route_0000000030","Year_2013"
"Route_0000000030","Year_2014"
"Route_0000000031","Year_2007"
"Route_0000000031","Year_2012"
"Route_0000000031","Year_2013"
"Route_0000000031","Year_2014"
"Route_0000000032","Year_2006"
"Route_0000000032","Year_2008"
"Route_0000000032","Year_2010"
"Route_0000000032","Year_2011"
"Route_0000000032","Year_2012"
"Route_0000000032","Year_2013"
"Route_0000000032","Year_2014"
"Route_0000000033","Year_2006"
"Route_0000000033","Year_2010"
"Route_0000000033","Year_2012"
"Route_0000000033","Year_2014"
"Route_0000000034","Year_2009"
"Route_0000000034","Year_2011"
"Route_0000000034","Year_2012"
"Route_0000000034","Year_2013"
"Route_0000000034","Year_2014"
"Route_0000000035","Year_2008"
"Route_0000000035","Year_2011"
"Route_0000000035","Year_2012"
"Route_0000000035","Year_2013"
"Route_0000000035","Year_2014"
"Route_0000000036","Year_2008"
"Route_0000000036","Year_2009"
"Route_0000000036","Year_2011"
"Route_0000000036","Year_2012"
"Route_0000000036","Year_2013"
"Route_0000000037","Year_2008"
"Route_0000000037","Year_2009"
"Route_0000000037","Year_2012"
"Route_0000000037","Year_2013"
"Route_0000000037","Year_2014"
"Route_0000000038","Year_2008"
"Route_0000000038","Year_2011"
"Route_0000000038","Year_2013"
"Route_0000000038","Year_2014"
"Route_0000000039","Year_2008"
"Route_0000000039","Year_2011"
"Route_0000000039","Year_2012"
"Route_0000000039","Year_2013"
"Route_0000000039","Year_2014"
"Route_0000000042","Year_2010"
"Route_0000000042","Year_2012"
"Route_0000000042","Year_2013"
"Route_0000000043","Year_2010"
"Route_0000000043","Year_2011"
"Route_0000000043","Year_2013"
"Route_0000000043","Year_2014"
"Route_0000000044","Year_2008"
"Route_0000000044","Year_2009"
"Route_0000000044","Year_2010"
"Route_0000000044","Year_2011"
"Route_0000000044","Year_2012"
"Route_0000000044","Year_2013"
"Route_0000000044","Year_2014"
"Route_0000000045","Year_2008"
"Route_0000000045","Year_2010"
"Route_0000000045","Year_2011"
"Route_0000000045","Year_2012"
"Route_0000000045","Year_2013"
"Route_0000000046","Year_2006"
"Route_0000000046","Year_2010"
"Route_0000000046","Year_2012"
"Route_0000000046","Year_2013"
"Route_0000000046","Year_2014"
"Route_0000000047","Year_2007"
"Route_0000000047","Year_2009"
"Route_0000000047","Year_2012"
"Route_0000000047","Year_2013"
"Route_0000000047","Year_2014"
"Route_0000000048","Year_2007"
"Route_0000000048","Year_2012"
"Route_0000000048","Year_2014"
"Route_0000000049","Year_2007"
"Route_0000000049","Year_2010"
"Route_0000000049","Year_2012"
"Route_0000000049","Year_2013"
"Route_0000000049","Year_2014"
