"","species","A_abu","A_pa","B_abu","B_pa","C_abu","C_pa","D_abu","D_pa","pool_A_abu","pool_A_pa","pool_B_abu","pool_B_pa","pool_C_abu","pool_C_pa","pool_D_abu","pool_D_pa","Mig","Hab","Mass","Prev"
"1","Acrocephalus_palustris",0.524987457079542,0.620459401515052,0.393761958629653,0.608548162430735,0.119209287723029,0.277791344616382,0.226711970612743,0.262102048173043,0.531228602678604,0.815310701797898,0.451109453472314,0.814384760018327,-0.353655715795115,0.330453915687373,-0.219074625371746,0.35077006688089,"L","WE",12,0.081831832
"2","Acrocephalus_schoenobaenus",0.231501819026631,0.37736003038147,0.138659378012143,0.361627351240674,0.248753254339514,0.05474138759448,0.15105376729192,0.0572141353140188,0.108947190926342,0.316354945947502,0.146132281437994,0.343795541206452,-0.136524309417049,0.150903144927117,-0.0600213330973333,0.264034609819355,"L","WE",12,0.124624625
"3","Acrocephalus_scirpaceus",0.315910331624223,0.51412548065146,0.094009431659871,0.464917722604492,-0.139603935338712,-0.176291347177537,-0.137016370648838,-0.193652825259733,0.262234938579516,0.426461208419369,0.136776449818715,0.347446628630189,-0.100873255033413,-0.239207668479298,-0.00967639926889444,-0.251681385354928,"L","WE",13,0.147897898
"4","Actitis_hypoleucos",0.291589359170727,0.167240480251189,0.0593447406205058,0.109575714456594,-0.0582367767683079,0.0842395839704073,-0.133877855846498,-0.0759249636164498,0.216747815940797,0.162839364805504,0.180590931173523,0.123778455828812,0.0885991054485836,0.111624574153335,0.0798326379373788,-0.180751029048604,"L","WE",47.5,0.302552553
"5","Aegithalos_caudatus",0.401595759938437,0.36369967946654,0.207514774630336,0.350400145576474,0.37302464556386,-0.0384437581058113,-0.496564758348371,-0.0581772222342661,0.335742442285643,0.398826614877077,0.336617594097202,0.406817165046099,0.425356939885279,-0.0159963841652343,0.646041576098079,-0.0471190331913799,"R","FO",8,0.132132132
"6","Alauda_arvensis",0.671746130376395,0.799470132164645,0.649974719083446,0.791738076244431,-0.0357160166740629,-0.123592266651709,0.0283228332389176,-0.138092983882719,0.641826219819234,0.856491706991893,0.580921621460639,0.839919621380053,0.428429144900185,-0.290416306678125,0.438689458276281,-0.272868745148439,"S","CU",37,0.284534535
"7","Anas_crecca",0.240494789568931,0.20158627498403,-0.00281388077381685,0.158589234349014,-0.0896193236673048,-0.106959095504186,-0.234502980932412,-0.0725115586219341,0.20613404002928,0.334301445915925,0.0872222432600645,0.297743657187451,-0.0384347044708311,-0.223363931625545,0.145335501506372,-0.168286012020858,"S","WE",370.3333333,0.180930931
"8","Anas_platyrhynchos",0.509258205485365,0.613888289612464,0.448092978452069,0.579147032320997,0.120693277081473,-0.0603299884307245,0.0152379625443545,-0.0622412651235581,0.576314514639165,0.656324444520454,0.537251246614078,0.613580346414303,0.23509994604625,0.015097798627341,0.232078668634625,-0.00840888849199526,"S","WE",1028.5,0.366366366
"9","Anser_anser",0.378887449496853,0.555685279965883,0.324876985437465,0.503224084261502,-0.274689818811773,0.348442602169939,-0.312550827408026,0.325156711379408,0.299393072288607,0.728045460410516,0.235529316826378,0.73519198071817,-0.0148862718547698,0.440706610997569,0.103151977238528,0.428821868573095,"S","WE",3464.5,0.141141141
"10","Anthus_pratensis",0.7724915000467,0.733822710449765,0.717583082306238,0.682232817882623,0.36223486092335,0.0751438559456898,0.38226381883267,0.0435191387511048,0.606692076011054,0.683297361091378,0.501270666484103,0.631997358929035,0.364023356770435,0.11581688482487,0.305336859002367,0.0897647542195311,"S","MM",18,0.382132132
"11","Anthus_trivialis",0.623872551375215,0.699638353613341,0.587841272241944,0.647501570692705,-0.0281318143012389,-0.0914388388023453,-0.0171099075880009,0.0650179192279463,0.550399175494247,0.552662024899032,0.477896122662102,0.45529445845115,0.188244944925154,-0.175368234701059,0.170725314531525,-0.0226058290106482,"L","FO",23,0.85960961
