route,x,y
1,5059.9,4260.5
2,4931.6,4142.1
3,4935.1,4187.2
4,5028.6,4167.9
5,5052.3,4171.7
6,5077.6,4178.
7,5101.1,4183.9
8,5125.9,4190.1
9,4876.6,4153.3
10,4950.6,4173.
11,4975.9,4176.3
12,4998.1,4181.9
13,5024.1,4189.4
14,5046.4,4196.3
15,5070.7,4201.
16,5095.9,4205.
17,5120.,4212.3
18,5141.5,4218.1
19,5168.2,4226.3
20,5192.4,4232.3
21,5177.6,4237.3
22,4850.4,4155.
23,4870.1,4160.2
24,4873.5,4161.3
25,4865.,4174.2
26,4871.2,4177.8
27,4943.3,4191.5
28,4975.6,4202.2
29,4992.1,4207.4
30,5014.5,4213.7
31,5040.8,4220.4
32,5064.8,4224.4
33,5090.,4230.6
34,5113.4,4238.5
35,5137.5,4244.4
36,5161.9,4250.5
37,5186.1,4256.6
38,5210.4,4262.6
39,5233.9,4267.1
40,5259.,4274.6
41,5282.8,4278.8
42,4937.4,4220.2
43,4962.7,4219.4
44,4986.,4232.5
45,5010.2,4238.5
46,5034.4,4244.6
47,5058.9,4249.8
48,5082.9,4256.7
49,5106.9,4263.7
50,5131.2,4268.8
51,5156.,4275.4
52,5179.1,4280.7
53,5202.5,4284.7
54,5228.3,4292.8
55,5251.7,4297.9
56,5276.7,4304.7
57,4955.1,4248.4
58,4979.7,4256.6
59,5003.9,4262.4
60,5028.3,4266.5
61,5051.7,4276.8
62,5076.3,4281.9
63,5101.3,4285.
64,5125.6,4291.
65,5149.3,4299.
66,5175.,4303.3
67,5199.2,4309.3
68,5222.,4317.
69,5246.3,4322.6
70,5264.7,4330.7
71,5294.6,4335.
72,5318.6,4341.9
73,4948.7,4272.5
74,4972.9,4278.7
75,4997.1,4284.7
76,5021.3,4290.8
77,5045.3,4297.8
78,5070.,4304.6
79,5094.3,4311.
80,5119.3,4315.2
81,5142.,4322.9
82,5166.7,4327.3
83,5191.,4333.1
84,5213.6,4341.2
85,5240.1,4345.2
86,5263.8,4350.7
87,5288.3,4356.1
88,5314.6,4362.5
89,4942.3,4296.8
90,4965.1,4308.4
91,4991.,4307.9
92,5016.4,4317.4
93,5038.2,4319.7
94,5063.5,4327.1
95,5087.9,4336.3
96,5112.4,4339.4
97,5136.7,4347.2
98,5162.,4352.9
99,5185.9,4356.6
100,5209.2,4362.2
101,5233.,4369.4
102,5255.1,4378.
103,5280.8,4381.3
104,5305.8,4387.2
105,5330.8,4394.4
106,4935.8,4322.
107,4961.,4327.6
108,4986.6,4332.6
109,5009.1,4341.3
110,5033.7,4346.2
111,5057.8,4351.5
112,5082.5,4359.3
113,5105.3,4364.4
114,5129.6,4370.4
115,5153.9,4373.6
116,5178.,4382.5
117,5201.1,4386.6
118,5228.7,4391.9
119,5251.5,4397.8
120,5275.,4406.5
121,5298.2,4412.2
122,5326.2,4417.3
123,5348.6,4424.6
124,4930.5,4345.3
125,4954.5,4352.5
126,4978.,4357.2
127,5002.9,4365.9
128,5026.4,4369.8
129,5047.9,4371.1
130,5075.4,4383.7
131,5099.1,4387.9
132,5125.3,4394.7
133,5147.2,4401.6
134,5172.7,4406.9
135,5196.5,4410.8
136,5220.4,4417.6
137,5242.7,4423.3
138,5270.8,4430.
139,5292.6,4437.6
140,5316.8,4443.6
141,5344.6,4440.1
142,5365.,4455.4
143,4923.7,4371.2
144,4947.9,4377.3
145,4977.4,4382.8
146,4997.,4387.7
147,5019.6,4395.5
148,5044.,4401.1
149,5069.,4407.9
150,5093.3,4414.
151,5117.8,4419.2
152,5142.6,4426.3
153,5165.6,4429.9
154,5190.8,4436.2
155,5215.,4442.2
156,5237.9,4449.3
157,5263.4,4454.4
158,5289.8,4456.5
159,5310.1,4465.3
160,5335.9,4473.
161,5359.9,4479.9
162,4916.4,4394.6
163,4941.5,4401.5
164,4965.6,4407.6
165,4989.5,4411.6
166,5013.8,4417.7
167,5038.4,4426.
168,5062.9,4430.
169,5087.8,4436.3
170,5110.9,4445.2
171,5134.8,4448.5
172,5159.5,4456.
173,5183.6,4462.3
174,5208.,4465.3
175,5231.4,4474.1
176,5256.2,4478.2
177,5278.7,4483.7
178,5304.1,4492.
179,5328.6,4496.9
180,5353.5,4504.2
181,5377.7,4508.
182,4910.9,4419.1
183,4935.,4423.6
184,4959.3,4431.8
185,4983.8,4437.7
186,5007.3,4441.9
187,5031.8,4448.
188,5055.6,4454.7
189,5080.9,4460.4
190,5105.2,4466.4
191,5129.,4474.4
192,5154.,4477.6
193,5177.5,4486.5
194,5201.3,4490.4
195,5222.2,4492.4
196,5253.3,4502.2
197,5274.7,4509.8
198,5298.7,4516.5
199,5319.1,4513.6
200,5347.3,4528.2
201,5371.4,4534.3
202,5394.9,4539.
203,4903.9,4441.4
204,4928.7,4449.3
205,4952.9,4455.8
206,4977.2,4461.9
207,5001.4,4468.2
208,5025.9,4473.2
209,5049.6,4481.4
210,5074.1,4486.5
211,5098.4,4492.6
212,5122.1,4496.5
213,5147.2,4502.7
214,5170.2,4509.3
215,5195.6,4515.8
216,5213.2,4523.5
217,5246.4,4526.2
218,5269.,4532.8
219,5291.2,4540.4
220,5309.9,4546.9
221,5340.8,4550.5
222,5365.,4558.5
223,5392.4,4568.3
224,4897.2,4464.4
225,4922.2,4473.9
226,4946.4,4479.9
227,4969.9,4485.2
228,4994.9,4492.3
229,5019.7,4496.5
230,5043.6,4504.
231,5067.7,4510.6
232,5091.3,4515.1
233,5116.2,4522.8
234,5140.5,4528.7
235,5162.6,4527.3
236,5188.9,4538.8
237,5213.1,4546.9
238,5239.5,4551.4
239,5261.9,4557.9
240,5285.7,4561.9
241,5310.4,4570.2
242,5333.4,4576.6
243,5354.1,4576.5
244,5382.8,4588.4
245,4915.7,4498.
246,4940.3,4503.
247,4964.7,4508.5
248,4988.5,4516.4
249,5013.8,4522.
250,5037.,4528.7
251,5061.2,4534.8
252,5085.5,4540.8
253,5110.3,4545.
254,5134.,4553.
255,5157.5,4557.8
256,5184.,4563.4
257,5206.8,4571.1
258,5231.2,4574.7
259,5255.2,4583.1
260,5305.4,4584.1
261,5327.4,4598.8
262,5352.7,4605.1
263,5375.5,4612.6
264,4887.1,4516.4
265,4957.8,4534.4
266,4982.,4540.5
267,5005.7,4545.1
268,5030.5,4552.8
269,5054.8,4558.9
270,5078.9,4562.9
271,5103.6,4570.1
272,5128.3,4574.3
273,5152.2,4581.8
274,5175.3,4588.3
275,5200.1,4595.2
276,5224.6,4601.3
277,5248.8,4607.2
278,5264.,4610.3
279,5297.3,4619.2
280,5321.4,4624.8
281,5343.7,4627.5
282,4951.1,4559.4
283,4974.6,4564.4
284,5000.,4570.
285,5023.1,4576.7
286,5047.7,4581.6
287,5072.6,4589.1
288,5096.8,4595.2
289,5120.5,4599.6
290,5144.9,4605.2
291,5169.2,4611.2
292,5193.9,4619.4
293,5217.4,4624.3
294,5242.4,4631.4
