route;x;y
1;5059900;4260500
2;4931600;4142100
3;4935100;4187200
4;5028600;4167900
5;5052300;4171700
6;5077600;4178000
7;5101100;4183900
8;5125900;4190100
9;4876600;4153300
10;4950600;4173000
11;4975900;4176300
12;4998100;4181900
13;5024100;4189400
14;5046400;4196300
15;5070700;4201000
16;5095900;4205000
17;5120000;4212300
18;5141500;4218100
19;5168200;4226300
20;5192400;4232300
21;5177600;4237300
22;4850400;4155000
23;4870100;4160200
24;4873500;4161300
25;4865000;4174200
26;4871200;4177800
27;4943300;4191500
28;4975600;4202200
29;4992100;4207400
30;5014500;4213700
31;5040800;4220400
32;5064800;4224400
33;5090000;4230600
34;5113400;4238500
35;5137500;4244400
36;5161900;4250500
37;5186100;4256600
38;5210400;4262600
39;5233900;4267100
40;5259000;4274600
41;5282800;4278800
42;4937400;4220200
43;4962700;4219400
44;4986000;4232500
45;5010200;4238500
46;5034400;4244600
47;5058900;4249800
48;5082900;4256700
49;5106900;4263700
50;5131200;4268800
51;5156000;4275400
52;5179100;4280700
53;5202500;4284700
54;5228300;4292800
55;5251700;4297900
56;5276700;4304700
57;4955100;4248400
58;4979700;4256600
59;5003900;4262400
60;5028300;4266500
61;5051700;4276800
62;5076300;4281900
63;5101300;4285000
64;5125600;4291000
65;5149300;4299000
66;5175000;4303300
67;5199200;4309300
68;5222000;4317000
69;5246300;4322600
70;5264700;4330700
71;5294600;4335000
72;5318600;4341900
73;4948700;4272500
74;4972900;4278700
75;4997100;4284700
76;5021300;4290800
77;5045300;4297800
78;5070000;4304600
79;5094300;4311000
80;5119300;4315200
81;5142000;4322900
82;5166700;4327300
83;5191000;4333100
84;5213600;4341200
85;5240100;4345200
86;5263800;4350700
87;5288300;4356100
88;5314600;4362500
89;4942300;4296800
90;4965100;4308400
91;4991000;4307900
92;5016400;4317400
93;5038200;4319700
94;5063500;4327100
95;5087900;4336300
96;5112400;4339400
97;5136700;4347200
98;5162000;4352900
99;5185900;4356600
100;5209200;4362200
101;5233000;4369400
102;5255100;4378000
103;5280800;4381300
104;5305800;4387200
105;5330800;4394400
106;4935800;4322000
107;4961000;4327600
108;4986600;4332600
109;5009100;4341300
110;5033700;4346200
111;5057800;4351500
112;5082500;4359300
113;5105300;4364400
114;5129600;4370400
115;5153900;4373600
116;5178000;4382500
117;5201100;4386600
118;5228700;4391900
119;5251500;4397800
120;5275000;4406500
121;5298200;4412200
122;5326200;4417300
123;5348600;4424600
124;4930500;4345300
125;4954500;4352500
126;4978000;4357200
127;5002900;4365900
128;5026400;4369800
129;5047900;4371100
130;5075400;4383700
131;5099100;4387900
132;5125300;4394700
133;5147200;4401600
134;5172700;4406900
135;5196500;4410800
136;5220400;4417600
137;5242700;4423300
138;5270800;4430000
139;5292600;4437600
140;5316800;4443600
141;5344600;4440100
142;5365000;4455400
143;4923700;4371200
144;4947900;4377300
145;4977400;4382800
146;4997000;4387700
147;5019600;4395500
148;5044000;4401100
149;5069000;4407900
150;5093300;4414000
151;5117800;4419200
152;5142600;4426300
153;5165600;4429900
154;5190800;4436200
155;5215000;4442200
156;5237900;4449300
157;5263400;4454400
158;5289800;4456500
159;5310100;4465300
160;5335900;4473000
161;5359900;4479900
162;4916400;4394600
163;4941500;4401500
164;4965600;4407600
165;4989500;4411600
166;5013800;4417700
167;5038400;4426000
168;5062900;4430000
169;5087800;4436300
170;5110900;4445200
171;5134800;4448500
172;5159500;4456000
173;5183600;4462300
174;5208000;4465300
175;5231400;4474100
176;5256200;4478200
177;5278700;4483700
178;5304100;4492000
179;5328600;4496900
180;5353500;4504200
181;5377700;4508000
182;4910900;4419100
183;4935000;4423600
184;4959300;4431800
185;4983800;4437700
186;5007300;4441900
187;5031800;4448000
188;5055600;4454700
189;5080900;4460400
190;5105200;4466400
191;5129000;4474400
192;5154000;4477600
193;5177500;4486500
194;5201300;4490400
195;5222200;4492400
196;5253300;4502200
197;5274700;4509800
198;5298700;4516500
199;5319100;4513600
200;5347300;4528200
201;5371400;4534300
202;5394900;4539000
203;4903900;4441400
204;4928700;4449300
205;4952900;4455800
206;4977200;4461900
207;5001400;4468200
208;5025900;4473200
209;5049600;4481400
210;5074100;4486500
211;5098400;4492600
212;5122100;4496500
213;5147200;4502700
214;5170200;4509300
215;5195600;4515800
216;5213200;4523500
217;5246400;4526200
218;5269000;4532800
219;5291200;4540400
220;5309900;4546900
221;5340800;4550500
222;5365000;4558500
223;5392400;4568300
224;4897200;4464400
225;4922200;4473900
226;4946400;4479900
227;4969900;4485200
228;4994900;4492300
229;5019700;4496500
230;5043600;4504000
231;5067700;4510600
232;5091300;4515100
233;5116200;4522800
234;5140500;4528700
235;5162600;4527300
236;5188900;4538800
237;5213100;4546900
238;5239500;4551400
239;5261900;4557900
240;5285700;4561900
241;5310400;4570200
242;5333400;4576600
243;5354100;4576500
244;5382800;4588400
245;4915700;4498000
246;4940300;4503000
247;4964700;4508500
248;4988500;4516400
249;5013800;4522000
250;5037000;4528700
251;5061200;4534800
252;5085500;4540800
253;5110300;4545000
254;5134000;4553000
255;5157500;4557800
256;5184000;4563400
257;5206800;4571100
258;5231200;4574700
259;5255200;4583100
260;5305400;4584100
261;5327400;4598800
262;5352700;4605100
263;5375500;4612600
264;4887100;4516400
265;4957800;4534400
266;4982000;4540500
267;5005700;4545100
268;5030500;4552800
269;5054800;4558900
270;5078900;4562900
271;5103600;4570100
272;5128300;4574300
273;5152200;4581800
274;5175300;4588300
275;5200100;4595200
276;5224600;4601300
277;5248800;4607200
278;5264000;4610300
279;5297300;4619200
280;5321400;4624800
281;5343700;4627500
282;4951100;4559400
283;4974600;4564400
284;5000000;4570000
285;5023100;4576700
286;5047700;4581600
287;5072600;4589100
288;5096800;4595200
289;5120500;4599600
290;5144900;4605200
291;5169200;4611200
292;5193900;4619400
293;5217400;4624300
294;5242400;4631400
295;5266700;4637400
296;5290500;4641200
297;4945400;4580000
298;4968800;4586100
299;4993300;4594900
300;5017600;4601000
301;5041900;4607200
302;5066100;4613200
303;5089500;4618700
304;5114800;4624000
305;5138900;4631500
306;5163200;4637600
307;5186700;4642400
308;5210800;4648900
309;5236000;4655600
310;5260200;4661600
311;5283900;4665700
312;4986800;4619000
313;5011500;4623500
314;5035400;4631300
315;5059800;4635400
316;5084000;4641100
317;5108300;4649100
318;5132600;4655200
319;5155700;4661300
320;5181200;4666800
321;5205200;4673800
322;5229200;4680700
323;5253800;4685800
324;5278500;4690800
325;5302300;4697700
326;5004600;4649200
327;5028100;4656200
328;5052900;4659400
329;5076300;4666100
330;5100700;4673500
331;5126200;4679000
332;5147200;4693300
333;5174400;4688300
334;5197800;4697700
335;5223000;4703900
336;5247500;4708800
337;5270100;4713500
338;5295400;4719500
339;5022300;4679500
340;5046600;4685600
341;5070800;4691700
342;5095400;4697000
343;5119400;4703900
344;5143500;4710900
345;5168000;4716000
346;5192000;4723000
347;5216500;4728100
348;5240200;4733900
349;5265500;4738100
350;5015800;4703400
351;5040100;4709700
352;5063600;4714400
353;5088700;4721900
354;5112400;4726100
355;5138200;4734300
356;5161700;4739200
357;5184000;4745200
358;5209600;4750000
359;5235200;4757900
360;5256300;4761100
361;5008300;4727400
362;5048100;4735600
363;5058800;4740100
364;5082100;4746000
365;5106400;4752100
366;5130400;4759200
367;5154500;4762100
368;5179300;4770300
369;5205000;4774900
370;5226800;4782100
371;5051300;4764000
372;5075600;4770000
373;5099900;4776200
374;5124800;4779800
375;5149900;4786700
376;5172700;4794400
377;5197000;4800500
378;5221300;4804400
379;5045300;4786100
380;5069000;4794200
381;5092900;4798200
382;5117600;4806400
383;5141900;4812500
384;5166200;4818500
385;5190500;4824600
386;5214400;4828200
387;5014900;4806200
388;5038500;4811200
389;5062500;4818300
390;5086100;4823200
391;5111600;4828600
392;5135400;4836600
393;5159700;4842600
394;5183500;4848500
395;5208200;4854700
396;4983000;4823900
397;5006900;4827900
398;5031600;4836200
399;5056400;4840500
400;5080500;4847500
401;5104100;4852400
402;5128000;4859900
403;5153500;4864800
404;5176900;4871100
405;5204200;4877200
406;5224900;4883200
407;4953100;4842000
408;4975000;4845500
409;5000300;4851900
410;5025500;4858300
411;5049800;4864500
412;5073900;4871600
413;5097400;4877500
414;5122200;4884700
415;5145800;4889600
416;5169600;4894500
417;5194800;4902800
418;4945100;4863600
419;4968800;4871700
420;4993300;4877300
421;5018400;4884300
422;5040800;4890000
423;5067000;4896600
424;5091300;4902700
425;5116000;4906500
426;5140000;4914900
427;5164800;4919000
428;5188300;4927900
429;4938400;4887600
430;4963200;4895900
431;4987500;4902200
432;5011800;4908300
433;5036100;4914500
434;5060400;4920500
435;5110000;4933100
436;5132600;4937700
437;5158200;4943100
438;4934000;4911100
439;4957000;4918000
440;4979900;4925900
441;5005200;4932400
442;5029500;4938500
443;5054500;4945900
444;5078100;4950800
445;5102400;4956900
446;5126800;4963000
447;5151100;4969000
448;4925600;4937800
449;4949900;4944000
450;4974200;4950200
451;4998500;4956400
452;5022900;4962500
453;5047200;4968700
454;5071600;4974600
455;5094400;4978500
456;5120100;4987000
457;5144900;4991100
458;4919300;4959800
459;4943200;4968000
460;4966600;4973800
461;4990200;4978900
462;5016200;4986500
463;5040500;4992700
464;5089200;5005000
465;5113500;5011100
466;5137800;5017100
467;4912300;4985700
468;4936600;4992000
469;4960900;4998200
470;4986200;5004600
471;5010500;5010800
472;5033600;5017700
473;5058200;5022900
474;5082500;5029000
475;5107900;5035300
476;5131300;5040700
477;5155500;5047200
478;4905600;5009700
479;4929900;5015900
480;4955200;5022400
481;4978600;5028300
482;5002900;5034500
483;5027200;5040700
484;5052000;5044900
485;5075900;5053000
486;5100200;5059100
487;5124600;5065200
488;5148900;5071300
489;4898900;5033600
490;4924700;5038200
491;4947600;5046000
492;4971900;5052300
493;4996200;5058500
494;5020800;5063700
495;5044900;5070800
496;5069200;5077000
497;5093600;5083100
498;5117900;5089200
499;4891500;5057400
500;4915600;5060500
501;4940800;5070100
502;4965200;5076300
503;4989700;5082000
504;5013800;5088700
505;5038600;5093500
506;5062600;5101000
507;5086900;5107100
508;4861100;5075200
509;4885400;5081500
510;4908800;5087500
511;4935000;5094200
512;4958400;5100300
513;4982800;5106500
514;5007200;5112700
515;5032500;5119100
516;5055300;5123100
517;4829000;5092600
518;4854300;5099000
519;4878500;5106300
520;4902100;5111500
521;4926700;5116700
522;4951700;5124200
523;4976100;5130400
524;5000400;5136600
525;5024700;5142500
526;5048300;5148700
527;4798500;5108200
528;4822300;5116400
529;4946000;5148400
530;4969000;5152200
531;4993700;5160600
532;5016400;5165500
533;5042400;5172900
